"PIN","sex","age","dq_ethnicity_1","dq_ethnicity_2","dq_ethnicity_3","dq_ethnicity_4","dq_ethnicity_5","dq_ethnicity_6","dq_religion1","dq_religion2","dq_religion3","dq_religion4","dq_religion5","dq_religion6","dq_religion7","dq_religion8","dq_religion9","dq_religion10","dq_religion11","dq_religion12","dq_politics1","dq_politics2","dq_politics3","dq_politics4","dq_politics5","dq_politics6","dq_politics7","dq_age18","dq_age19","dq_age20","dq_age21","dq_age22","dq_age23_25","dq_age26","self_race1","self_race2","self_race3","self_race4","self_race5","self_race6","self_race7","self_religion","self_politics","ideal_affectionate","ideal_ambition","ideal_artistic","ideal_disposition","ideal_family","ideal_health","ideal_humor","ideal_intelligent","ideal_kind","ideal_parenting","ideal_physatt","ideal_religious","ideal_resources","ideal_sexy","ideal_status","self_affectionate_comp","self_ambition_comp","self_artistic_comp","self_disposition_comp","self_family_comp","self_health_comp","self_humor_comp","self_intelligent_comp","self_kind_comp","self_parenting_comp","self_physatt_comp","self_religious_comp","self_resources_comp","self_sexy_comp","self_status_comp"
311,0,24,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,2,7,8,7,7,6,4,7,8,8,6,6,6,8,7,5,7,5,5,7,6,5,5,4,6,5,5,4,5,4,6
423,0,19,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,12,4,8,7,6,7,8,5,6,4,8,9,5,4,5,5,5,7,7,8,9,7,5,6,4,8,9,6,7,6,7,6
374,0,23,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,5,4,8,5,8,6,8,6,4,6,6,9,8,7,5,7,8,7,9,7,9,7,5,6,7,10,10,7,8,8,9,7
441,0,23,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,2,4,7,6,5,7,2,6,8,5,6,6,8,5,3,4,7,4,6,4,6,3,6,7,5,4,5,6,5,4,4,5
259,0,23,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,2,1,9,9,6,6,10,7,9,10,10,8,7,5,10,10,7,10,10,9,7,10,9,9,10,8,9,9,2,9,10,8
345,0,23,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,2,7,9,8,8,8,5,5,8,7,7,8,6,5,4,8,6,7,6,8,7,7,5,8,3,6,5,6,3,4,7,8
257,0,24,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,12,6,6,8,5,5,7,5,7,6,7,8,7,9,6,5,7,7,5,8,7,9,5,7,4,7,9,7,9,6,6,7
401,0,24,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,13,4,8,3,6,5,8,6,7,6,5,7,5,2,4,5,6,7,3,3,7,6,4,7,3,7,8,5,0,4,5,5
481,0,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,4,10,9,7,10,8,9,8,8,10,10,10,9,9,10,8,10,10,7,10,10,9,10,10,9,10,10,9,7,10,10
375,0,25,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,12,7,9,10,8,7,10,7,9,10,9,7,5,7,10,9,7,10,10,9,10,9,7,7,10,9,9,7,7,9,10,6
464,0,22,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,12,5,10,8,9,10,10,9,9,10,10,8,9,8,10,10,9,8,8,10,8,10,8,10,9,10,8,10,7,9,10,7
489,0,21,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,7,10,10,9,8,9,8,7,10,8,10,7,2,8,10,7,8,9,4,6,9,5,6,8,7,8,7,2,5,9,6
309,0,25,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,2,1,3,4,3,5,3,4,6,7,2,5,5,0,3,1,4,3,6,5,4,3,6,6,6,4,3,6,1,4,4,4
413,0,22,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,13,4,6,7,7,6,9,6,7,6,7,6,4,5,6,6,7,9,6,4,4,5,5,5,8,7,6,5,3,6,6,6
298,0,26,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,10,7,7,9,6,8,10,6,9,8,6,7,7,5,8,3,6,6,7,7,9,10,6,8,7,8,7,8,5,6,7,3
487,0,24,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,4,9,9,7,9,7,7,7,7,8,7,6,4,6,8,7,9,10,9,9,6,7,10,9,10,9,7,5,8,8,10
388,0,20,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,7,7,6,6,8,5,5,6,6,7,7,6,6,1,7,7,7,6,4,6,3,6,5,4,6,4,5,6,2,4,5,5
498,0,24,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,11,5,6,7,5,5,6,4,8,3,7,5,5,4,6,5,5,6,5,4,6,5,5,7,6,6,4,5,5,4,5,5
255,0,18,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,10,7,10,7,6,8,6,8,8,7,8,10,8,5,7,6,8,7,9,10,9,7,7,7,9,7,10,8,4,7,7,7
286,0,25,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,1,5,3,2,3,3,6,2,2,4,5,3,6,2,2,3,4,2,4,3,5,5,3,4,3,5,5,9,6,3,5
409,0,21,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,8,7,5,6,8,8,7,6,7,8,6,6,6,8,5,6,5,6,7,7,6,6,6,8,8,7,5,5,6,5
461,0,25,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,9,4,10,6,6,7,6,9,6,6,9,4,9,6,7,6,9,8,10,9,9,4,8,9,8,9,5,10,5,7,9,10
268,0,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,6,7,7,5,5,6,6,7,8,7,7,6,0,6,7,3,8,6,8,5,5,6,7,6,6,5,6,1,5,7,5
322,0,24,NA,NA,NA,NA,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,7,6,10,7,7,8,7,8,6,8,7,7,10,8,8,10,8,8,7,4,7,5,6,7,6,8,5,8,6,5,9,7
326,0,25,1,1,1,NA,1,NA,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,1,6,5,4,5,7,5,5,4,3,4,5,5,3,6,5,8,4,5,7,7,4,6,5,8,5,6,5,4,7,6
337,0,22,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,4,8,7,5,5,7,7,7,7,6,5,6,8,5,4,6,6,6,7,5,6,5,5,6,5,4,2,5,5,3,5
367,0,23,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,2,2,7,2,1,3,4,3,4,1,5,4,3,2,3,7,3,5,3,1,1,4,2,4,2,5,3,4,1,4,5,3
340,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,13,4,5,6,6,4,5,3,7,5,5,5,4,7,3,7,5,7,4,6,6,4,4,8,7,6,5,4,9,6,4,5
483,0,26,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,2,3,7,5,4,4,2,6,6,4,6,4,5,2,5,7,7,7,7,7,6,5,5,7,8,7,4,6,1,6,7,5
327,0,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,4,6,5,6,6,4,6,6,6,5,6,7,5,8,7,5,7,8,8,7,8,8,8,9,5,6,7,7,8,6,7
449,0,26,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,5,7,7,10,9,7,8,8,9,9,4,9,5,9,9,9,10,8,9,10,7,10,10,10,9,6,8,5,8,10,9
332,0,26,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,5,10,5,7,7,6,7,8,5,7,7,5,5,5,7,4,9,7,6,5,3,4,8,6,8,6,5,4,4,8,4
403,0,19,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,1,8,8,10,8,9,8,8,5,9,10,7,7,9,6,7,7,9,10,10,10,7,7,7,10,6,9,3,8,6,7
306,0,18,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,4,6,9,6,7,7,4,7,6,7,9,5,7,6,8,7,6,4,5,6,6,4,6,5,4,6,4,4,3,5,7
282,0,19,1,1,NA,NA,NA,NA,NA,1,NA,1,1,1,1,1,1,1,1,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,4,6,9,6,8,6,8,9,9,8,8,7,5,9,9,9,7,8,9,8,5,10,9,8,7,6,8,6,8,8,7
359,0,23,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,13,4,6,3,2,1,3,4,6,4,3,3,2,3,4,5,3,8,4,4,6,4,5,2,4,4,5,5,2,3,7,3
371,0,21,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,12,1,9,9,8,9,8,10,9,10,10,5,8,9,9,10,6,8,6,9,8,9,8,8,9,7,5,8,7,9,6,7
291,0,22,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,7,4,6,8,5,9,7,6,8,8,8,9,6,0,7,7,3,5,6,3,3,6,4,5,4,5,7,5,0,4,4,4
465,0,21,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,4,5,5,5,4,4,3,2,5,6,4,2,0,4,6,4,6,5,5,5,3,4,4,6,6,3,4,0,6,7,6
297,0,22,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,12,4,8,8,5,8,5,6,8,6,8,6,6,6,7,8,8,8,6,6,8,7,7,10,7,8,7,8,5,6,9,7
308,0,23,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,2,4,6,4,7,5,5,3,6,4,6,5,5,9,4,5,5,6,5,6,7,4,6,5,4,6,6,6,10,5,7,3
171,1,25,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,6,10,7,8,10,8,5,9,9,8,7,8,9,6,10,7,6,7,6,7,9,5,8,7,7,7,9,5,6,9,7
204,1,23,NA,NA,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,6,8,10,7,7,7,6,7,8,7,8,8,8,6,7,8,8,7,7,8,6,7,8,7,8,10,9,4,6,9,8
122,1,18,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,11,6,10,9,7,8,8,6,7,4,8,10,6,6,8,9,7,8,8,4,8,8,6,7,5,8,7,5,6,7,7,5
20,1,26,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,2,7,8,9,9,7,7,7,7,8,3,8,5,9,8,8,6,8,9,7,7,8,7,8,8,6,8,8,9,9,7
94,1,21,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,4,5,7,7,7,6,7,7,6,8,9,9,2,8,8,8,7,9,9,6,8,6,8,9,10,8,7,3,9,7,8
75,1,24,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,12,4,6,6,5,7,5,5,5,7,5,3,6,4,5,5,6,7,8,6,5,6,5,6,8,6,6,6,3,5,6,8
114,1,22,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,7,4,6,4,1,5,5,2,4,3,6,4,6,4,3,5,6,7,5,3,5,8,4,5,6,6,7,6,7,6,8
60,1,21,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,2,4,9,8,8,8,8,7,9,7,10,6,9,8,7,10,7,8,8,8,8,10,8,8,7,8,7,6,9,7,8,7
147,1,22,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,4,6,7,6,7,4,7,7,7,5,6,5,5,5,6,5,6,7,6,8,5,8,6,6,6,6,6,3,6,8,6
161,1,24,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,12,5,7,7,7,8,7,8,9,5,9,7,6,3,8,7,9,9,8,4,8,5,7,9,8,7,6,8,2,6,10,7
157,1,23,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,2,4,8,7,5,5,5,8,8,9,8,5,8,2,6,8,6,6,5,4,6,4,6,6,7,5,5,9,2,7,5,8
44,1,19,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,4,5,7,5,5,6,5,7,5,7,5,3,6,6,7,5,2,4,2,4,5,3,6,5,5,6,6,5,5,7,4
240,1,24,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,12,4,6,5,6,8,6,7,5,7,8,7,7,0,6,8,6,6,5,4,8,5,5,5,6,7,6,4,1,6,5,3
224,1,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,8,5,6,6,5,7,5,8,7,8,8,8,6,3,7,8,8,8,8,8,8,5,7,8,8,8,6,7,1,6,8,8
185,1,18,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,1,1,NA,1,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,7,4,8,9,8,10,7,7,9,8,8,10,8,2,6,7,6,9,8,6,9,7,7,7,8,8,7,7,0,6,10,6
90,1,23,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,2,2,3,3,4,4,4,3,1,2,5,4,2,4,2,2,5,3,6,4,3,5,4,4,6,4,7,3,5,4,5,7
2,1,20,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,2,3,9,9,9,8,8,5,9,5,7,6,6,6,6,9,7,10,10,10,8,8,7,9,8,10,8,9,5,8,9,8
136,1,24,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,5,8,8,7,7,8,7,9,8,9,9,9,4,7,9,7,9,7,7,9,5,7,7,8,8,7,8,4,6,9,7
156,1,18,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,2,2,6,9,7,8,6,8,8,8,8,8,8,5,8,8,9,6,6,8,6,8,6,9,8,6,8,9,5,7,7,7
26,1,22,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,12,5,7,9,8,9,9,7,7,9,8,9,6,9,6,8,7,7,8,6,7,6,5,6,8,7,7,7,7,7,7,8
149,1,21,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,1,9,9,7,9,9,8,9,7,9,9,9,7,7,10,9,6,8,6,7,9,6,8,8,8,8,9,5,7,10,7
239,1,19,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,2,5,8,7,5,5,8,8,7,6,7,9,5,3,6,5,6,5,8,6,5,9,8,6,7,5,3,8,3,8,8,5
244,1,20,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,2,4,3,5,4,4,3,5,5,4,4,4,3,6,4,3,4,3,4,4,4,4,5,4,5,6,5,7,6,4,3,5
191,1,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,4,2,6,9,9,8,9,8,6,7,8,8,6,5,7,9,8,5,6,6,6,8,5,6,7,7,9,5,1,6,9,7
104,1,23,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,2,6,7,6,6,6,7,6,8,5,7,7,9,8,3,6,7,10,8,7,9,8,6,7,8,8,6,7,9,5,7,7
163,1,19,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,4,8,6,7,8,10,8,6,6,7,9,6,9,8,9,8,10,8,8,7,8,7,9,8,9,9,8,8,8,10,7
210,1,24,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,2,4,7,6,4,5,5,5,6,5,3,1,6,4,5,7,5,7,6,6,3,5,4,6,6,5,5,7,3,3,9,6
130,1,26,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,1,5,6,9,4,7,6,5,7,7,6,8,6,7,4,8,5,8,7,3,8,8,6,8,5,9,8,7,3,6,10,7
62,1,24,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,7,8,7,5,6,7,7,6,7,7,7,7,8,7,8,6,7,5,7,6,5,5,6,8,5,5,5,9,5,7,6
48,1,19,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,7,3,9,6,5,8,8,7,7,7,9,4,8,1,6,4,8,7,9,5,7,7,8,6,7,7,6,8,4,7,7,7
95,1,21,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,7,3,9,8,5,7,7,7,7,9,8,3,8,6,3,8,8,7,9,5,6,6,5,6,9,6,7,8,4,5,7,8
