"PIN","sex","age","dq_ethnicity_1","dq_ethnicity_2","dq_ethnicity_3","dq_ethnicity_4","dq_ethnicity_5","dq_ethnicity_6","dq_religion1","dq_religion2","dq_religion3","dq_religion4","dq_religion5","dq_religion6","dq_religion7","dq_religion8","dq_religion9","dq_religion10","dq_religion11","dq_religion12","dq_politics1","dq_politics2","dq_politics3","dq_politics4","dq_politics5","dq_politics6","dq_politics7","dq_age18","dq_age19","dq_age20","dq_age21","dq_age22","dq_age23_25","dq_age26","self_race1","self_race2","self_race3","self_race4","self_race5","self_race6","self_race7","self_religion","self_politics","ideal_affectionate","ideal_ambition","ideal_artistic","ideal_disposition","ideal_family","ideal_health","ideal_humor","ideal_intelligent","ideal_kind","ideal_parenting","ideal_physatt","ideal_religious","ideal_resources","ideal_sexy","ideal_status","self_affectionate_comp","self_ambition_comp","self_artistic_comp","self_disposition_comp","self_family_comp","self_health_comp","self_humor_comp","self_intelligent_comp","self_kind_comp","self_parenting_comp","self_physatt_comp","self_religious_comp","self_resources_comp","self_sexy_comp","self_status_comp"
119,1,18,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,9,4,8,6,3,8,6,9,7,6,9,5,7,5,7,5,7,6,6,3,6,4,7,6,7,5,6,5,7,4,5,4
45,1,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,12,2,4,7,3,4,4,4,5,5,6,3,5,3,6,5,5,7,7,4,4,6,4,4,6,6,7,6,4,5,6,5
73,1,20,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,2,4,6,6,6,7,8,5,7,6,6,8,8,7,6,7,4,8,7,6,7,8,6,6,7,8,7,8,4,7,8,5
91,1,21,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,4,7,6,5,7,9,8,7,7,6,6,8,5,6,7,6,10,7,7,7,10,6,10,8,7,5,7,6,7,9,7
211,1,19,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,12,5,8,5,7,8,6,7,8,8,6,6,7,4,6,6,4,6,6,5,8,8,8,7,4,6,3,5,4,7,6,5
124,1,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,12,4,6,5,8,8,6,6,7,7,8,7,9,6,9,6,6,6,6,4,6,7,6,6,7,7,6,6,3,6,7,5
241,1,19,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,1,5,4,8,5,8,5,4,5,7,5,9,6,2,6,6,5,6,6,3,8,5,7,6,5,6,8,6,5,8,7,4
14,1,23,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,7,9,8,9,9,9,9,10,9,10,8,9,2,8,10,7,9,4,6,7,9,7,6,7,8,7,5,0,5,7,4
199,1,19,NA,NA,NA,1,NA,NA,1,1,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,12,2,5,6,5,5,6,5,5,8,6,8,7,1,5,7,4,5,6,5,4,7,4,6,7,6,7,5,1,7,3,5
5,1,20,1,1,1,1,1,NA,NA,NA,NA,NA,1,NA,1,NA,1,1,1,NA,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,2,4,1,2,4,3,2,2,0,3,2,2,3,0,4,0,3,2,4,4,3,1,3,5,5,5,4,3,1,5,2,4
139,1,19,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,12,4,6,8,6,9,6,7,8,5,5,6,8,4,7,9,7,7,6,5,7,9,5,7,6,8,6,7,2,5,8,5
84,1,24,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,1,7,7,10,9,8,9,5,7,9,10,7,3,8,8,8,6,9,7,8,5,7,5,6,5,6,8,3,7,8,6
10,1,22,1,1,1,1,1,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,1,8,6,5,8,6,6,8,6,6,7,7,7,6,6,7,6,7,8,8,6,7,6,6,5,5,4,7,4,8,6
196,1,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,11,4,6,7,6,7,5,8,6,8,6,5,7,2,7,7,7,5,5,2,6,7,7,4,6,6,6,5,3,8,5,7
152,1,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,10,6,4,6,9,9,6,6,8,6,6,9,5,10,8,9,7,7,7,8,8,8,9,7,6,8,9,9,8,6,9,7
217,1,21,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,1,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,4,6,4,5,6,6,6,3,4,5,6,6,5,6,6,6,5,5,6,5,5,5,6,5,5,8,5,6,6,6,5
142,1,24,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,12,4,7,6,5,8,6,6,7,6,8,9,6,1,7,9,6,8,7,4,8,8,6,7,8,8,7,7,1,6,9,7
234,1,20,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,11,7,10,9,6,7,5,8,9,8,9,10,10,1,9,8,10,8,9,6,7,4,6,8,9,9,7,8,0,8,8,8
192,1,19,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,10,4,9,6,7,10,9,7,6,9,9,8,9,8,8,8,8,8,9,10,10,9,5,10,10,9,7,7,5,5,9,8
61,1,22,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,2,2,4,4,6,4,4,4,5,6,5,4,4,0,4,5,4,3,4,5,2,4,2,4,3,4,4,2,0,6,5,3
97,1,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,2,5,7,10,7,10,8,8,8,9,7,10,6,7,8,9,8,9,8,6,10,9,9,7,8,7,8,8,6,6,8,7
105,1,20,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,12,7,10,10,7,10,10,8,10,9,8,9,9,3,8,10,8,7,10,8,8,10,8,8,10,8,8,10,0,9,8,9
236,1,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,12,2,10,8,6,9,9,8,8,7,7,6,9,6,6,8,8,10,8,5,8,8,7,10,9,8,9,9,8,9,9,8
127,1,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,11,3,7,9,6,7,9,6,7,8,9,10,7,10,9,5,6,9,8,8,8,6,7,8,7,10,10,9,8,8,9,8
158,1,19,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,12,3,8,9,8,8,7,10,10,9,7,7,10,6,10,10,8,9,8,10,8,7,8,9,8,10,7,7,7,7,6,6
195,1,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,2,6,7,5,8,4,7,8,7,7,6,9,3,2,8,8,7,7,2,7,5,7,5,7,5,5,6,5,7,8,8
242,1,22,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,3,6,2,6,5,6,4,5,5,5,5,4,9,4,6,2,8,5,6,6,8,6,4,5,7,5,6,4,5,7,5
58,1,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,2,8,9,8,6,7,7,6,8,7,7,7,8,6,7,8,6,8,8,7,7,6,8,8,6,5,6,9,7,8,7
117,1,21,1,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,2,4,8,6,6,9,8,7,9,7,9,5,10,3,6,9,10,8,9,6,8,10,6,10,7,10,6,10,3,6,7,8
218,1,25,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,7,3,7,6,7,3,7,5,6,5,5,6,6,4,5,7,6,5,5,7,4,5,3,5,3,5,4,4,1,3,7,4
237,1,26,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,9,4,9,10,7,10,7,7,10,10,9,7,10,3,10,10,8,7,9,5,8,8,6,8,7,4,4,7,5,6,10,7
69,1,19,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,4,6,7,5,5,9,5,6,8,7,6,7,1,6,6,6,5,7,5,5,9,7,6,5,7,6,6,5,6,5,6
86,1,18,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,13,4,9,8,6,9,9,10,7,8,9,9,9,7,8,10,9,9,10,7,8,8,10,8,9,9,9,10,6,7,10,8
183,1,26,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,2,7,6,7,5,7,7,7,8,8,6,9,7,9,6,5,7,8,4,8,8,5,8,8,6,8,8,8,9,8,6,8
87,1,21,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,4,5,8,6,3,7,4,5,7,4,4,4,0,7,4,4,4,3,1,1,2,2,2,3,2,2,4,0,4,5,4
74,1,18,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,4,9,6,4,6,5,7,7,7,7,6,6,3,6,8,5,7,8,4,7,6,4,7,7,8,5,7,0,4,8,6
146,1,26,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,4,6,5,5,6,1,4,1,7,3,5,2,4,5,3,5,6,8,5,5,3,7,4,6,5,6,4,6,8,4,6
154,1,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,12,6,3,5,8,6,3,5,2,5,5,3,5,4,6,5,8,4,7,6,5,0,4,5,6,4,7,6,5,6,7,7
65,1,24,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,13,6,6,8,8,7,4,7,8,7,8,7,8,7,8,8,7,5,7,8,6,7,7,7,6,7,6,8,5,6,7,7
188,1,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,7,6,3,8,5,7,5,6,7,7,5,2,5,6,5,6,5,7,3,2,4,5,5,5,5,2,3,5,2,3,6,3
219,1,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,12,4,9,9,6,8,9,7,7,9,9,10,8,4,8,6,7,10,10,7,10,10,7,8,10,10,9,7,5,7,10,7
165,1,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,12,6,9,5,4,5,7,8,8,7,7,6,7,4,4,8,3,6,5,4,4,6,5,7,8,3,5,7,5,4,8,6
232,1,21,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,6,5,4,4,5,2,4,4,4,5,5,6,5,4,6,5,6,7,4,6,7,5,6,5,7,6,6,6,5,7,8
170,1,19,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,2,5,8,8,6,8,6,6,4,9,7,9,9,6,7,4,6,9,7,5,8,7,8,7,8,8,10,8,7,8,7,7
125,1,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,2,6,10,7,4,9,7,6,8,8,6,6,8,8,6,5,5,8,5,6,8,6,7,9,9,7,7,6,6,5,6,7
29,1,24,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,9,6,8,9,3,8,8,10,8,8,9,8,8,6,6,7,8,8,8,4,6,5,7,7,8,7,7,10,5,5,8,9
51,1,19,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,7,8,7,9,5,7,5,7,7,7,6,6,6,6,6,6,7,7,6,6,8,5,8,6,8,6,4,5,8,7,7
216,1,22,1,NA,NA,1,1,1,1,NA,1,1,1,1,1,1,1,NA,1,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,13,1,7,6,7,8,6,6,6,7,9,7,7,4,7,6,6,6,7,6,5,6,8,7,8,8,6,9,2,9,7,7
174,1,26,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,3,10,8,7,8,8,8,7,6,7,8,9,9,9,9,9,10,7,7,9,10,9,7,5,8,8,8,10,6,9,6
212,1,18,NA,NA,NA,1,1,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,4,3,5,2,5,5,3,3,6,4,5,4,2,4,5,4,5,5,6,5,5,4,5,6,5,7,7,1,6,6,3
79,1,20,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,11,6,10,7,8,4,6,6,8,7,7,8,6,6,8,9,6,7,9,8,6,5,5,8,8,8,8,7,4,7,8,6
57,1,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,10,7,8,6,6,7,7,5,8,8,9,7,6,8,6,6,7,8,6,8,6,4,6,6,7,8,9,5,9,6,5,7
203,1,24,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,13,3,3,3,3,3,6,5,4,2,3,2,5,3,4,4,5,5,5,3,6,8,5,5,6,5,6,8,3,5,7,6
131,1,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,11,7,9,8,6,9,8,8,10,9,9,7,8,1,8,8,9,8,8,5,8,8,9,10,9,8,7,10,4,10,10,7
76,1,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,12,3,2,3,3,3,4,2,3,4,4,4,5,0,2,1,3,4,6,5,4,4,3,5,5,5,5,5,1,5,5,4
134,1,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,12,2,6,7,4,7,7,5,6,6,7,8,8,1,8,7,8,5,6,2,5,5,5,5,5,4,5,3,0,5,5,5
39,1,21,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,3,7,7,7,7,6,8,7,6,8,6,10,5,9,9,9,6,7,6,7,7,7,7,7,9,9,8,2,8,8,8
101,1,25,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,4,10,8,6,9,7,10,10,8,10,7,10,8,7,8,9,9,7,6,7,9,8,10,7,10,7,8,9,6,9,7
6,1,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,10,6,7,6,5,8,7,6,7,7,8,8,8,5,8,8,6,9,7,6,8,8,8,8,8,8,8,9,7,7,9,7
179,1,20,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,2,4,8,6,6,6,6,5,3,7,8,10,6,5,7,8,5,5,6,4,3,4,2,6,3,3,4,2,1,4,5,4
238,1,23,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,12,4,6,4,6,6,5,4,5,6,7,5,6,3,7,8,5,5,7,8,6,9,6,7,7,7,8,7,4,7,7,8
85,1,24,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,12,4,6,8,8,8,6,3,5,7,7,9,5,6,7,9,8,8,6,7,9,8,7,7,6,7,10,6,8,5,8,7
54,1,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,12,2,7,8,8,9,9,9,10,7,10,5,10,9,7,10,9,6,6,5,7,5,6,7,9,6,5,7,7,6,7,9
106,1,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,2,6,6,7,6,8,2,7,7,7,5,3,8,0,5,5,8,6,7,3,5,3,5,7,6,5,5,8,0,4,8,6
34,1,26,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,6,8,5,5,5,5,6,6,5,7,7,6,4,6,6,7,9,6,7,7,6,6,6,5,8,7,7,2,5,5,5
166,1,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,12,5,6,9,4,6,8,7,8,9,8,9,10,4,7,7,6,9,8,5,10,9,7,10,7,7,6,6,5,8,8,6
22,1,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,11,7,8,7,5,7,9,7,9,7,8,4,8,4,6,7,6,8,8,8,5,7,6,8,6,6,5,8,4,7,7,8
52,1,22,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,5,7,6,8,8,8,6,7,8,7,7,4,8,6,8,7,7,6,8,8,10,8,8,7,7,6,9,7,8,9,9
228,1,23,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,12,4,10,10,7,9,10,8,10,9,10,10,9,5,4,10,9,10,8,7,9,8,8,10,8,10,10,8,5,8,9,8
133,1,26,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,13,4,10,10,7,9,7,6,8,8,8,6,6,5,8,10,7,8,8,9,7,9,7,9,8,8,4,9,2,9,10,7
209,1,24,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,NA,NA,NA,NA,1,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,13,4,6,8,6,6,7,3,8,7,4,9,4,9,6,7,7,8,7,6,9,7,7,6,6,8,10,8,10,6,8,5
1,1,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,3,6,6,7,7,9,7,9,6,7,7,8,10,7,8,8,9,6,7,7,8,5,9,8,8,8,8,10,9,8,7
